firms
CONSORZIO STABILE SVILUPPO SOSTENIBILE - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA
GESSI HOLDING S.P.A.
COLLIS VENETO WINE GROUP SOCIETA' COOPERATIVA AGRICOLA IN FORMA ABBREVIATA COLLIS , COLLIS GROUP , COLLIS WINE GROUP E/O C.W.G.
COOP LIGURIA SOCIETA' COOPERATIVA DI CONSUMO
ART COSMETICS S.R.L.
EVI-ETHIC VALUE INTERNATIONAL S.R.L.
TELMOTOR S.P.A.
UNIONE FARMACEUTICA NOVARESE ENUNCIABILE ANCHE UFN SOCIETA' COOPERATIVA PER AZIONI
SIRJO SOCIETA' CONSORTILE PER AZIONI
C.B.C. COMMODITIES BIO CONSULTING S.R.L.
HPF SOCIETA' A RESPONSABILITA' LIMITATA
COOPERATIVA SOCIALE SOCIETA' DOLCE - SOCIETA' COOPERATIVA
HBI ITALY ACQUISITION CO. S.R.L.
CAP HOLDING S.P.A.
AMAZON DATA SERVICES ITALY S.R.L.
SO.I.GE.A. S.R.L.
SOCIETA' INGROSSO ELETTRODOMESTICI MERIDIONALE - S.I.E.M. - S.P.A
FARMACIA S.CATERINA S.R.L.
PIETRO POZZONI E C. SOCIETA' IN ACCOMANDITA PER AZIONI
BRAND IDENTITY SOLUTIONS S.R.L.
FI.SE S.R.L.
ALRESCHA INVESTIMENTI S.R.L.
INDUSTRIE CARTARIE TRONCHETTI - S. P. A. ABBREVIABILE IN ICT S.P.A.
POLTRONESOFA' HOLDING S.R.L.
PRELIOS CREDIT SOLUTIONS S.P.A.
ROMA TPL SOCIETA' CONSORTILE A R.L.
COMMIT GROUP SRL
JSW STEEL ITALY PIOMBINO S.P.A.
MAGNI TELESCOPIC HANDLERS S.R.L. ABBREVIABILE IN MTH S.R.L.
ARROW ELECTRONICS ITALIA S.R.L.
C.M. SERVICE S.R.L. SIGLABILE C.M.S. S.R.L.
FORMENTI & GIOVENZANA S.P.A.
THYSSENKRUPP ELECTRICAL STEEL ITALIA S.R.L.
ECO FOX S.R.L.
DE CLEMENTE CONSERVE S.P.A.
CANALI HOLDING SOCIETA' PER AZIONI
GIREFIN S.P.A.
RECKITT BENCKISER COMMERCIAL (ITALIA) S.R.L.
RECKITT BENCKISER HOLDINGS (ITALIA) S.R.L.
MAZDA MOTOR ITALIA SOCIETA' A RESPONSABILITA' LIMITATA
LUNIKGAS SOCIETA' PER AZIONI
SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.
SHELLNET S.P.A.
NEVADA S.R.L.
MENU' - SOCIETA' A RESPONSABILITA' LIMITATA ABBREVIABILE IN: MENU' - S.R.L.
PPG ITALIA SALES & SERVICES S.R.L.
GSE ITALIA S.R.L.
ALIFRESCA ITALY S.R.L.
RORO IMMOBILIARE S.R.L.
OTTORINO CELLITTI HOLDING S.R.L.
Q8 QUASER S.R.L.
DELIVEROO ITALY S.R.L.
FINAGRIT S.R.L.
GP SOCIETA' A RESPONSABILITA' LIMITATA IN SIGLA GP S.R.L.
GRANDI STAZIONI RAIL S.P.A.
HIAB ITALIA S.R.L.
ESSILORLUXOTTICA WHOLESALE ITALIA S.P.A.
PFIZER ITALIA S.R.L.
DGS S.P.A.
LAMPA S.R.L. SOCIETA' BENEFIT O IN FORMA ABBREVIATA S.B.
MER MEC STE S.R.L.
MONDELEZ ITALIA S.R.L.
SOCIETA' REGIONALE PER LA SANITA' S.P.A. IN BREVE SO.RE.SA. S.P .A.
VA.PA. S.R.L.
FINCOSIT S.R.L.
LINCOLN ELECTRIC ITALIA SOCIETA' A RESPONSABILITA' LIMITATA SIGLABILE LINCOLN ELECTRIC ITALIA S.R.L.
GLOBAL SRL SOCIETA' UNIPERSONALE
PELATTI HOLDING S.R.L.
RUFFINO S.R.L. LA SOCIETA' POTRA' USARE I SEGNI DISTINTIVI I.L. RUFFINO 1877 , CHIANTI RUFFINO (SIGLA TOSCOVINI) , CONSTELLATION BRANDS EUROPE TRADING O CBET .
AVANGUARDIA S.R.L.
LARIO MI AUTO S.R.L.
LNG SHIPPING S.P.A.
CSM INGREDIENTS ITALIA S.P.A.
SILCO IMMOBILIARE S.R.L.
GRUPPO M SRL
WACKER CHEMIE ITALIA S.R.L.
FATRO S.P.A.
GREENYARD FRESH ITALY S.P.A.
DELOITTE & TOUCHE S.P.A.
EDIL GEA SRL
FINVEGA S.R.L.
EUROVO SRL
BON-FI S.R.L.
HANKOOK TIRE ITALIA S.R.L.
COSTANTIN DISTRIBUZIONE E SERVIZI SRL
S.A.C.C.L.A. SRL SOCIETA'AUTOTRASPORTI COMMERCIO CARBURANTI LUBRIFICANTI AFFINI
S T A S.R.L.
S.D.M. SOCIETA' DISTRIBUTRICE MERCI S.R.L.
SASSI S.P.A.
SM AMBIENTE S.R.L.
ITS - SISA DETERGENTI S.R.L.
ENEL GLOBAL SERVICES S.R.L.
KOFLER SRL
FUEL TRADING S.R.L.
TMAP S.R.L.
DEL MONTE ITALY S.R.L.
VENICE S.R.L.
MITSUI E&P ITALIA B S.R.L.
GRUPPO SBN SRL
LUANO CAMP S.R.L.
BIDFOOD ITALIA S.R.L.
LA DEA H S.R.L.
C.G.I. HOLDING S.R.L.
MAGLIONE S.R.L.
FERCAM HOLDING S.R.L.
RUBIX S.P.A.
DRAGOTTO HOLDING SOCIETA' PER AZIONI
GARGANO ESCO S.R.L.
DANFOSS DISTRIBUTION SERVICES S.R.L.
DANFOSS POWER SOLUTIONS S.R.L.
UB HOLDING S.R.L.
KORVELLA ITALIA S.R.L.
PACO S.R.L.
INNOVA.T HOLDING S.R.L.
NORD MOTORIDUTTORI S.R.L.
MAX MARKET S.R.L.
RHAMA PORT HUB SOCIETA' A RESPONSABILITA' LIMITATA
MERCEDES-BENZ LEASE ITALIA - SOCIETA' A RESPONSABILITA' LIMITATA
DATALOGIC S.R.L.
FIDIFA S.R.L.
ALAN HOLDING S.R.L.
NIDEC FIR INTERNATIONAL S.R.L.
NIDEC GLOBAL APPLIANCE EUROPE S.R.L.
MENONI METALLI S.R.L.
DOLE ITALIA S.R.L.
P.PETROLI SRL
PAPERDI S.R.L.
MICROSOFT S.R.L.
VALORI S.C.A R.L. - CONSORZIO STABILE IN SIGLA VALORI - S.C. A R. L.
LOMBARDINI S.R.L.
OVERMACH HOLDING S.R.L. & C. S.A.P.A.
ROCCHETTA S.R.L.
PENTA PETROLI SRL
LEO SHOES S.R.L.
CCS JV S.C.A R.L. O, IN FORMA ABBREVIATA CCS S.C.A R.L.
RUMET S.R.L.
GASTRO-POOL ITALIEN SRL
HOGAST ITALIEN, EINKAUFSGENOSSENSCHAFT FUER DAS HOTEL - UND GASTGEWERBE IN BREVE/KURZ HOGAST ITALIEN GENOSSENSCHAFT
ITC FARMA S.R.L.
AL DAHRA EUROPE S.R.L.
ZF SACHS ITALIA S.R.L.
TARGET S.R.L.
ZE.FLOR. SOCIETA' A RESPONSABILITA' LIMITATA
JERONIMO MARTINS SGPS S.A.
GALP ENERGIA SGPS S.A.
EDP - ENERGIAS DE PORTUGAL S.A.
PETROGAL, S.A.
SONAE SGPS S.A.
MOTA-ENGIL SGPS S.A.
MODELO CONTINENTE - HIPERMERCADOS, S.A.
PINGO DOCE - DISTRIBUICAO ALIMENTAR, S.A.
TRANSPORTES AEREOS PORTUGUESES, SGPS, S.A.
TRANSPORTES AEREOS PORTUGUESES, S.A.
EDP GEM PORTUGAL, S.A.
FIDELIDADE - COMPANHIA DE SEGUROS SA
BANCO COMERCIAL PORTUGUES, SA
VOLKSWAGEN AUTOEUROPA, LDA
CAIXA GERAL DE DEPOSITOS
EDP COMERCIAL - COMERCIALIZACAO DE ENERGIA, S.A.
CAIXA GERAL DE DEPOSITOS, S.A.
BANCO COMERCIAL PORTUGUES, S.A.
SOCIEDADE DE INVESTIMENTO E GESTAO, SGPS, S.A.
REPSOL PORTUGUESA, LDA
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA, S.A.
THE NAVIGATOR COMPANY S.A.
BANCO SANTANDER TOTTA S.A.
BANCO SANTANDER TOTTA SA
GALP - GAS NATURAL, S.A.
AUCHAN RETAIL PORTUGAL, S.A.
BP PORTUGAL - COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES, S.A.
SU ELETRICIDADE, S.A.
NOS SGPS, S.A.
NOS - COMUNICACOES, S.A.
NOVO BANCO
E-REDES - DISTRIBUICAO DE ELETRICIDADE, S.A.
INFRAESTRUTURAS DE PORTUGAL, S.A.
IRMADONA - SUPERMERCADOS, UNIPESSOAL, LDA
VODAFONE PORTUGAL - COMUNICACOES PESSOAIS, S.A.
BANCO BPI SA
BOSCH CAR MULTIMEDIA PORTUGAL, S.A.
SAIPEM (PORTUGAL) - COMERCIO MARITIMO, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)
RECHEIO - CASH & CARRY, S.A.
ENDESA ENERGIA, S.A. - SUCURSAL EM PORTUGAL
CONTINENTAL MABOR - INDUSTRIA DE PNEUS, S.A.
PRIO SUPPLY, S.A.
ANA - AEROPORTOS DE PORTUGAL, S.A.
WORTEN - EQUIPAMENTOS PARA O LAR, S.A.
ITX PORTUGAL - CONFECCOES, S.A.
STELLANTIS PORTUGAL, S.A.
APTIVPORT SERVICES, S.A.
MOEVE - COMERCIAL PORTUGUESA, LDA
CTT CORREIOS DE PORTUGAL SA
ITMP ALIMENTAR, S.A.
MOTA-ENGIL - ENGENHARIA E CONSTRUCAO AFRICA, S.A.
CREDITO AGRICOLA FINANCIAL GROUP
INAPA - INVESTIMENTOS, PARTICIPACOES E GESTAO, S.A.
CONTINENTE HIPERMERCADOS, S.A.
BCM - BRICOLAGE, S.A.
EDP - GESTAO DA PRODUCAO DE ENERGIA, S.A.
REN - REDES ENERGETICAS NACIONAIS, SGPS, S.A.
AGEAS PORTUGAL - COMPANHIA DE SEGUROS SA
SISTEMA INTEGRADO DO CREDITO AGRICOLA MUTUO (COMBINED)
PEUGEOT CITROEN AUTOMOVEIS PORTUGAL, S.A.
REAGRO - IMPORTACAO E EXPORTACAO, S.A.
CORTICEIRA AMORIM SGPS S.A.
PRIO ENERGY, S.A.
NA - NETJETS AVIATION, SOCIEDADE UNIPESSOAL, LDA
SIVA - SOCIEDADE DE IMPORTACAO DE VEICULOS AUTOMOVEIS, S.A.
FARMINVESTE SGPS, S.A.
ALTRI SGPS S.A.
BRISA CONCESSAO RODOVIARIA S.A.
LACTOGAL - PRODUTOS ALIMENTARES, S.A.
TEIXEIRA DUARTE S.A.
UNIDADE LOCAL DE SAUDE DE COIMBRA, E.P.E.
MERCEDES-BENZ PORTUGAL, S.A.
MIDSID - SOCIEDADE PORTUGUESA DE DISTRIBUICAO, S.A.
IBERDROLA CLIENTES PORTUGAL, UNIPESSOAL, LDA
ALCAPETRO - PETROLEOS E DERIVADOS, S.A.
NETJETS - TRANSPORTES AEREOS, S.A.
MONTEPIO GERAL - ASSOCIACAO MUTUALISTA
NESTLE PORTUGAL, UNIPESSOAL, LDA
CDIL - COMPANHIA DE DISTRIBUICAO INTEGRAL LOGISTA PORTUGAL, S.A.
OCP - PORTUGAL - PRODUTOS FARMACEUTICOS, S.A.
RENAULT PORTUGAL, S.A.
BMW PORTUGAL, LDA
UNIDADE LOCAL DE SAUDE DE SAO JOAO, E.P.E.
UNIDADE LOCAL DE SAUDE DE SANTA MARIA E.P.E.
TOYOTA CAETANO PORTUGAL S.A.
UNIDADE LOCAL DE SAUDE DE SANTO ANTONIO, E.P.E.
COMPANHIA DE SEGUROS ALLIANZ PORTUGAL SA
GRUPO PESTANA SGPS SA
ALLIANCE HEALTHCARE, S.A.
MAKRO - CASH & CARRY PORTUGAL, S.A.
IKEA PORTUGAL - MOVEIS E DECORACAO, LDA
EL CORTE INGLES - GRANDES ARMAZENS, S.A.
TD SYNNEX PORTUGAL, LDA
SN MAIA - SIDERURGIA NACIONAL, S.A.
LEASE PLAN PORTUGAL - COMERCIO E ALUGUER DE AUTOMOVEIS E EQUIPAMENTOS, LDA
REPSOL POLIMEROS, UNIPESSOAL, LDA
CELBI, S.A.
ALDI RETAIL, UNIPESSOAL, LDA
REAL ESTATE MANALDI, S.A.
TABAQUEIRA II, S.A.
UNIDADE LOCAL DE SAUDE DE SAO JOSE, E.P.E.
SOVENA PORTUGAL - CONSUMER GOODS, S.A.
NAVIGATOR PAPER SETUBAL, S.A.
CAIXA ECONOMICA MONTEPIO GERAL
CIMPOR - INDUSTRIA DE CIMENTOS, S.A.
SN SEIXAL - SIDERURGIA NACIONAL, S.A.
NAVIGATOR PULP FIGUEIRA, S.A.
SUPER BOCK BEBIDAS, S.A.
FASTFIBER - INFRAESTRUTURAS DE COMUNICACOES, S.A.
MOTA-ENGIL- ENGENHARIA E CONSTRUCAO, S.A.
OUTSYSTEMS - SOFTWARE EM REDE, S.A.
AQUINOS GROUP, SGPS, S.A.
FRATELLI COSULICH, UNIPESSOAL, S.A. (ZONA FRANCA DA MADEIRA)
CENIBRA - INTERNACIONAL - SERVICOS E COMERCIO, SOCIEDADE UNIPESSOAL, LDA
NAVIGATOR PAPER FIGUEIRA, S.A.
VIAGENS ABREU, S.A.
GOLD ENERGY - COMERCIALIZADORA DE ENERGIA, S.A.
IBERSOL SGPS SA
TELEPERFORMANCE PORTUGAL, S.A.
TAGUS - SOCIEDADE DE TITULARIZACAO DE CREDITOS, S.A.
CTT EXPRESSO - SERVICOS POSTAIS E LOGISTICA, S.A.
SCC - SOCIEDADE CENTRAL DE CERVEJAS E BEBIDAS, S.A.
BONDALTI CHEMICALS, S.A.
WEST HORSE POWERTRAIN PORTUGAL, S.A.
REN - REDE ELECTRICA NACIONAL, S.A.
CP - COMBOIOS DE PORTUGAL, E.P.E.
UNIDADE LOCAL DE SAUDE DO ALGARVE, E.P.E.
SOMINCOR - SOCIEDADE MINEIRA DE NEVES-CORVO, S.A.
COFICAB PORTUGAL - COMPANHIA DE FIOS E CABOS, LDA
BOSCH TERMOTECNOLOGIA, S.A.
SOHI MEAT SOLUTIONS - DISTRIBUICAO DE CARNES, S.A.
FAURECIA - ASSENTOS DE AUTOMOVEL, LDA
MULTICARE - SEGUROS DE SAUDE SA
BRISA - AUTO-ESTRADAS DE PORTUGAL, S.A.
ALTICE LABS, S.A.
PUREM TONDELA, UNIPESSOAL, LDA
UNIDADE LOCAL DE SAUDE DE AMADORA/SINTRA, E.P.E.
SAMSUNG - ELECTRONICA PORTUGUESA, UNIPESSOAL, LDA
UNIDADE LOCAL DE SAUDE DE LISBOA OCIDENTAL, E.P.E.
UNIDADE LOCAL DE SAUDE DE GAIA/ESPINHO, E.P.E.
MOVHERA - HIDROELETRICAS DO NORTE, S.A.
LAMISION - SOCIEDADE DE TRANSPORTES, LDA
NOS TECHNOLOGY - CONCEPCAO, CONSTRUCAO E GESTAO DE REDES DE COMUNICACOES, S.A.
TESLA PORTUGAL, SOCIEDADE UNIPESSOAL, LDA
CASAIS - ENGENHARIA E CONSTRUCAO, S.A.
UNIDADE LOCAL DE SAUDE DE BRAGA, E.P.E.
SPORT LISBOA E BENFICA-FUTEBOL SAD
COOPROFAR - COOPERATIVA DOS PROPRIETARIOS DE FARMACIA, C.R.L.
SECIL - COMPANHIA GERAL DE CAL E CIMENTO, S.A.
DOMINGOS DA SILVA TEIXEIRA, S.A.
MANUEL RUI AZINHAIS NABEIRO, UNIPESSOAL, LDA
FNAC PORTUGAL - ACTIVIDADES CULTURAIS E DISTRIBUICAO DE LIVROS, DISCOS MULTIMEDIA E PRODUTOS TECNICOS, SOCIEDADE UNIPESSOAL, LDA
ALVES BANDEIRA & CA., S.A.
AUCHAN ENERGY, S.A.
MEGACO - PRODUTOS SIDERURGICOS, S.A.
SUMOL+COMPAL MARCAS, S.A.
BARATA & RAMILO, S.A.
SERVICO DE SAUDE DA REGIAO AUTONOMA DA MADEIRA, EPERAM
SOVENA OILSEEDS PORTUGAL, S.A.
GAS NATURAL COMERCIALIZADORA, S.A.- SUCURSAL EM PORTUGAL
UNITED EUROPEAN CAR CARRIERS, UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)
MEDIS - COMPANHIA PORTUGUESA DE SEGUROS DE SAUDE SA
RGVS IBERICA - SOCIEDADE IBERICA DE PRODUCAO DE ARTIGOS DE DESPORTO, UNIPESSOAL, LDA
CAETANO AUTO, S.A.
BORGWARNER EMISSIONS SYSTEMS PORTUGAL, UNIPESSOAL, LDA
UNIDADE LOCAL DE SAUDE DO TAMEGA E SOUSA, E.P.E.
LUSIAVES - INDUSTRIA E COMERCIO AGRO-ALIMENTAR, S.A.
UNIDADE LOCAL DE SAUDE DE ALMADA-SEIXAL, E.P.E.
PHARMACONTINENTE - SAUDE E HIGIENE, S.A.
CAETANO BAVIERA PORTUGAL, S.A.
JMR - PRESTACAO DE SERVICOS PARA A DISTRIBUICAO, S.A.
GESPOST - GESTAO E ADMINISTRACAO DE POSTOS DE ABASTECIMENTO, UNIPESSOAL, LDA
HOVIONE FARMACIENCIA, S.A.
BENTELER - INDUSTRIA DE COMPONENTES PARA AUTOMOVEIS, LDA
BA GLASS PORTUGAL, S.A.
PTDF - PORTUGAL DUTY FREE, LDA
CARCLASSE - COMERCIO DE AUTOMOVEIS, S.A.
PLURAL - COOPERATIVA FARMACEUTICA, C.R.L.
SATA INTERNACIONAL - AZORES AIRLINES, S.A.
UNILEVER FIMA, LDA
PETROIBERICA - SOCIEDADE DE PETROLEOS IBERO LATINOS, S.A.
SPDAD - SOCIEDADE PORTUGUESA DE DISTRIBUICAO DE ARTIGOS DE DESPORTO, UNIPESSOAL, LDA
MOEVE II - OPERACOES E RETALHO, LDA
FERPINTA IMOBILIARIA - SOCIEDADE DE GESTAO DE BENS IMOBILIARIOS, S.A.
FERPINTA - SGPS, S.A.
METRO DO PORTO, S.A.
BRISA - CONCESSAO RODOVIARIA, SGPS, S.A.
TEIXEIRA DUARTE - ENGENHARIA E CONSTRUCOES, S.A.
ADELPART INVESTIMENTOS, SGPS, S.A.
SILVAPLAN - INVESTIMENTOS, SGPS, S.A.
NAVIGATOR PULP SETUBAL, S.A.
EMPIFARMA - PRODUTOS FARMACEUTICOS, S.A.
RADIO POPULAR - ELECTRODOMESTICOS, S.A.
ALTRI ABASTECIMENTO DE MADEIRA, S.A.
LUSOTECHNIP - ENGENHARIA, SOCIEDADE UNIPESSOAL, LDA
TML - TRANSPORTES METROPOLITANOS DE LISBOA, E.M.T., S.A.
HOSPITAL DA LUZ, S.A.
HIKMA FARMACEUTICA (PORTUGAL), S.A.
TIM WE - SGPS, S.A.
EUROBIC
ALVES RIBEIRO, S.A.
LOJAS PRIMARK PORTUGAL - EXPLORACAO, GESTAO E ADMINISTRACAO DE ESPACOS COMERCIAIS, S.A.
SPORTING CLUBE DE PORTUGAL - FUTEBOL, S.A.D.
ILIDIO MOTA - PETROLEOS E DERIVADOS, LDA
COCA-COLA EUROPACIFIC PARTNERS PORTUGAL, UNIPESSOAL, LDA
OGMA - INDUSTRIA AERONAUTICA DE PORTUGAL, S.A.
SANTOGAL L - COMERCIO E REPARACAO DE AUTOMOVEIS, S.A.
KAIZEN GAMING INTERNATIONAL LIMITED, SUCURSAL EM PORTUGAL
EDA - ELECTRICIDADE DOS ACORES, S.A.
HAVI LOGISTICS, UNIPESSOAL, LDA
LUSIADAS, S.A.
NAVIGATOR PULP AVEIRO, S.A.
SANTA CASA DA MISERICORDIA DE LISBOA
EEM - EMPRESA DE ELECTRICIDADE DA MADEIRA, S.A.
BIAL - PORTELA & CA., S.A.
DS SMITH PAPER VIANA, S.A.
UNIDADE LOCAL DE SAUDE DA REGIAO DE LEIRIA, E.P.E.
ADP FERTILIZANTES, S.A.
